timestamp,class
12.52,intruder
12.56,intruder
12.6,intruder
12.64,intruder
12.84,intruder
12.88,intruder
12.96,intruder
13.0,intruder
13.0,intruder
13.04,intruder
13.04,intruder
13.16,intruder
13.2,intruder
13.24,intruder
13.24,intruder
13.28,intruder
13.28,intruder
13.32,intruder
13.36,intruder
13.4,intruder
13.44,intruder
13.48,intruder
13.52,intruder
13.56,intruder
13.6,intruder
13.64,intruder
13.68,intruder
13.72,intruder
13.76,intruder
13.8,intruder
13.84,intruder
13.88,intruder
13.92,intruder
13.96,intruder
14.0,intruder
14.04,intruder
14.08,intruder
14.12,intruder
14.16,intruder
14.2,intruder
14.24,intruder
14.28,intruder
14.32,intruder
14.36,intruder
14.4,intruder
14.44,intruder
14.48,intruder
14.52,intruder
14.56,intruder
14.6,intruder
14.64,intruder
14.68,intruder
14.72,intruder
15.0,intruder
15.04,intruder
15.08,intruder
15.12,intruder
15.16,intruder
15.2,intruder
15.24,intruder
15.28,intruder
15.32,intruder
15.36,intruder
15.4,intruder
16.04,intruder
16.08,intruder
16.12,intruder
16.16,intruder
16.2,intruder
16.24,intruder
16.28,intruder
16.32,intruder
16.36,intruder
16.4,intruder
16.44,intruder
16.48,intruder
16.52,intruder
16.56,intruder
16.6,intruder
16.64,intruder
16.68,intruder
16.72,intruder
16.76,intruder
16.8,intruder
16.84,intruder
16.88,intruder
16.92,intruder
16.96,intruder
17.0,intruder
17.04,intruder
17.08,intruder
17.12,intruder
17.12,intruder
17.16,intruder
17.16,intruder
17.28,intruder
17.28,intruder
17.32,intruder
17.32,intruder
17.36,intruder
17.36,intruder
17.4,intruder
17.4,intruder
17.44,intruder
17.44,intruder
17.48,intruder
17.48,intruder
17.52,intruder
17.56,intruder
17.6,intruder
17.64,intruder
17.68,intruder
17.72,intruder
17.76,intruder
17.8,intruder
17.84,intruder
18.04,intruder
18.08,intruder
18.12,intruder
18.16,intruder
18.2,intruder
18.24,intruder
18.28,intruder
18.32,intruder
18.36,intruder
18.4,intruder
18.44,intruder
18.48,intruder
18.52,intruder
18.56,intruder
18.6,intruder
18.64,intruder
18.68,intruder
18.72,intruder
18.76,intruder
18.8,intruder
18.84,intruder
18.88,intruder
18.92,intruder
18.96,intruder
19.0,intruder
19.04,intruder
19.08,intruder
19.12,intruder
19.16,intruder
20.2,intruder
20.24,intruder
20.28,intruder
20.32,intruder
20.36,intruder
20.4,intruder
